Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"Robertson  OH, Loosli CG, et  al. Tests for the  chronic toxicity of propylene glycol and triethylene  glycol on monkeys and rats by vapor inhalation and oral admin- istration.  Journal of Pharmacology and Experimental Therapeutics 1947;91(1):52–76.","Robertson, OH et al. (1947)",NA,JournalofPharmacologyandExperimentalTherapeutics1947;91(1):52–76.,NA,Tests for the chronic toxicity of propylene glycol and triethylene glycol on monkeys and rats by vapor inhalation and oral administration,ROBERTSON O.,The Journal of pharmacology and experimental therapeutics,SCOPUS_ID:0009581006,1,Journal article,0
"Rothman KJ, Greenland S, Lash TL. Modern Epidemiology. 3rd ed. Philadelphia: Wolters Kluwer Health/Lippincott Williams & Wilkins, 2008.","Rothman, KJ et al. (2008)",NA,"Philadelphia:WoltersKluwerHealth/LippincottWilliams&Wilkins,2008.",NA,Modern epidemiology: Third edition,Rothman K.,Modern Epidemiology: Third Edition,SCOPUS_ID:84971343444,1,Journal article,0
"Ruprecht AA, De Marco C, Pozzi P, Munarini E, Mazza R, Angellotti G, Turla F, Boffi R. Comparison between par- ticulate matter and ultrafine particle emission by elec- tronic and normal cigarettes in real-life conditions. Tumori 2014;100(1):e24–e27.","Ruprecht, AA et al. (2014)",NA,Tumori2014;100(1):e24–e27.,NA,Comparison between particulate matter and ultrafine particle emission by electronic and normal cigarettes in real-life conditions,Ruprecht A.,Tumori,SCOPUS_ID:84896986916,1,Journal article,0
"Zacny JP, Stitzer  ML. Cigarette  brand-switching:  effects on  smoke  exposure  and  smoking  behavior.  Journal of   Pharmacology   and   Experimental    Therapeutics 1988;246(2):619–27.","Zacny, JP and Stitzer, ML (1988)",NA,journalofPharmacologyandExperimentalTherapeutics1988;246(2):619–27.,NA,Cigarette brand-switching: Effects on smoke exposure and smoking behavior,Zacny J.,Journal of Pharmacology and Experimental Therapeutics,SCOPUS_ID:0023694465,1,Journal article,0
"Botvin GJ, Goldberg CJ, Botvin EM, Dusenbury L. Smoking behavior of adolescents exposed to cigarette adver- tising. Public Health Reports 1993;108(2):217–24.","Botvin, GJ et al. (1993)",NA,PublicHealthReports1993;108(2):217–24.,NA,Smoking behavior of adolescents exposed to cigarette advertising,Botvin G.,Public Health Reports,SCOPUS_ID:0027413134,1,Journal article,0
Ribisl KM. The potential of the Internet  as a medium  to encourage and discourage youth tobacco use. Tobacco Control 2003;12(Suppl 1):i48–i59.,"Ribisl, KM (2003)",NA,TobaccoControl2003;12(Suppl1):i48–i59.,NA,The potential of the internet as a medium to encourage and discourage youth tobacco use,Ribisl K.,Tobacco Control,SCOPUS_ID:0345025142,1,Journal article,0
American   Academy  of   Pediatrics.   Policy   statement: electronic  nicotine  delivery systems.  Pediatrics 2015a;136(5):1018–26.,American Academy of Pediatrics (2015a),NA,Pediatrics2015a;136(5):1018–26.,NA,Policy statement: electronic nicotine delivery systems,American Academy of Pediatrics,NA,NA,1,Journal article,0
"American Academy of Pediatrics. Public policy to protect children from tobacco, nicotine, and tobacco smoke. Pediatrics 2015b;136(5):998–1007.",American Academy of Pediatrics (2015b),NA,Pediatrics2015b;136(5):998–1007,NA,"Public policy to protect children from tobacco, nicotine, and tobacco smoke.",American Academy of Pediatrics.,NA,NA,1,Journal article,0
"Brandon   TH,  Goniewicz  ML, Hanna   NH,  Hatsukami DK, Herbst  RS,  Hobin  JA, Ostroff  JS,  Shields  PG, Toll BA, Tyne CA, et al. Electronic  nicotine  delivery systems: a policy statement  from the American Association for Cancer Research and the American Society of Clinical Oncology. Clinical Cancer Research 2015a;21(3):514–25.","Brandon, TH et al. (2015a)",10.1200/JCO.2014.59.4465,ClinicalCancerResearch2015a;21(3):514–25.,NA,Electronic nicotine delivery systems: A policy statement from the American Association for Cancer Research and the American Society of Clinical Oncology,Brandon T.,Journal of Clinical Oncology,SCOPUS_ID:84924912222,1,Journal article,0
"Brandon TH, Goniewicz ML, Hanna NH, Hatsukami DK, Herbst RS, Hobin JA, Ostroff JS, Shields PG, Toll BA, Tyne CA, et al. Electronic  nicotine  delivery systems: a  policy  statement   from  the  American  Association for Cancer Research and the American Society of Clinical   Oncology.  Journal   of   Clinical   Oncology 2015b;33(8):952–63.","Brandon, TH et al. (2015b)",10.1200/JCO.2014.59.4465,JournalofClinicalOncology2015b;33(8):952–63.,NA,Electronic nicotine delivery systems: A policy statement from the American Association for Cancer Research and the American Society of Clinical Oncology,Brandon T.,Journal of Clinical Oncology,SCOPUS_ID:84924912222,1,Journal article,0
"Cobb NK, Abrams DB. The FDA, e-cigarettes,  and  the demise of combusted tobacco. New England Journal of Medicine 2014;371(16):1469–71.","Cobb, NK and Abrams, DB (2014)",NA,NewEnglandJournalofMedicine2014;371(16):1469–71.,NA,"The FDA, e-cigarettes, and the demise of combusted tobacco","Cobb NK, Abrams DB",NA,NA,1,Journal article,0
Henningfield JE. The tobacco endgame: it’s all about behavior. Preventive Medicine 2014;68:11–6.,"Henningfield, JE (2014)",NA,PreventiveMedicine2014;68:11–6.,NA,The tobacco endgame: it’s all about behavior,Henningfield JE.,NA,NA,1,Journal article,0
"Rigotti NA, Moran SE, Wechsler H. U.S. college students’ exposure to tobacco promotions:  prevalence and asso- ciation with tobacco use. American Journal of Public Health 2005;95(1):138–44.","Rigotti, NA et al. (2005)",NA,AmericanJournalofPublicHealth2005;95(1):138–44.,NA,U.S. college students’ exposure to tobacco promotions: prevalence and association with tobacco use,"Rigotti NA, Moran SE, Wechsler H",NA,NA,1,Journal article,0
"Whitsel LP, Benowitz N, Bhatnagar A, Bullen C, Goldstein F, Matthias-Gray L, Grossmeier  J, Harris  J, Isaac F, Loeppke R, et al. Guidance to employers on integrating e-cigarettes/electronic  nicotine delivery systems into tobacco worksite policy. Journal of Occupational and Environmental  Medicine 2015;57(3):334–43.","Whitsel, LP et al. (2015)",10.1097/JOM.0000000000000420,JournalofOccupationalandEnvironmentalMedicine2015;57(3):334–43.,NA,Guidance to employers on Integrating E-cigarettes/electronic nicotine delivery systems into tobacco worksite policy,Whitsel L.,Journal of Occupational and Environmental Medicine,SCOPUS_ID:84958660968,1,Journal article,0
Task Force on Community Preventive Services. Recommendations regarding interventions to reduce tobacco use and exposure to environmental tobacco smoke. American Journal of Preventive Medicine 2001;20(2 Suppl):10–5.,Task Force on Community Preventive Services (2001),NA,AmericanJournalofPreventiveMedicine2001;20(2Suppl):10–5.,NA,Recommendations regarding interventions to reduce tobacco use and exposure to environmental tobacco smoke,Task Force on Community Preventive Services,NA,NA,1,Journal article,0
"Jansen, Paul, Traci L. Toomey, Toben F. Nelson, Lindsey E. A. Fabian, Kathleen M. Lenk and Jean L. Forster. “Sources of Cigarettes among Adolescent Smokers: Free or Purchased?” American Journal of Health Education 42(3): 154-160. 2011.","Jansen, P et al. (2011)",NA,AmericanJournalofHealthEducation42(3):154-160.2011.,NA,Sources of Cigarettes among Adolescent Smokers: Free or Purchased?”,"Jansen, Paul, Traci L. Toomey, Toben F. Nelson, Lindsey E. A. Fabian, Kathleen M. Lenk and Jean L. Forster",NA,NA,1,Journal article,0
"Warner, Kenneth E., David Mendez and Dean G. Smith. “The Financial Implications of Coverage of Smoking Cessation Treatment by Managed Care Organizations.” Inquiry 41: 57-69. Spring 2004.","Warner, KE et al. (2004)",NA,Inquiry41:57-69.Spring2004.,NA,The Financial Implications of Coverage of Smoking Cessation Treatment by Managed Care Organizations.,"Warner, Kenneth E., David Mendez and Dean G. Smith.",NA,NA,1,Journal article,0
"Gruber, Jonathan. “Smoking’s ‘Internalities.’” Regulation 25 (4): 52-57. Winter 2002-2003.","Gruber, J (2002)",NA,regulation25(4):52-57.Winter2002-2003.,NA,Smoking’s ‘Internalities,"Gruber, Jonathan",NA,NA,1,Journal article,0
"Nyman, John A., Nathan A. Barleen, Bryan E. Dowd, Daniel W. Russell, Stephen Joel Coons and Patrick W. Sullivan. “Quality-of-Life Weights for the U.S. Population: Self-Reported Health Status and Priority Health Conditions, by Demographic Characteristics.” Medical Care 45(7): 618-28. July 2007.","Nyman, JA et al. (2007)",NA,MedicalCare45(7):618-28.July2007.,NA,"Quality-of-Life Weights for the U.S. Population: Self-Reported Health Status and Priority Health Conditions, by Demographic Characteristics","Nyman, John A., Nathan A. Barleen, Bryan E. Dowd, Daniel W. Russell, Stephen Joel Coons and Patrick W. Sullivan",NA,NA,1,Journal article,0
"Gruber, Jonathan H. and Sendhil Mullainathan. “Do Cigarette Taxes Make Smokers Happier?” Advances in Economic Analysis & Policy 5(1): Article 4. 2005.","Gruber, J and  Mullainathan, S (2005)",10.1057/9780230288027,AdvancesinEconomicAnalysis&Policy5(1):Article4.2005.,NA,Do cigarette taxes make smokers happier?,Gruber J.,"Happiness and Public Policy: Theory, Case Studies and Implications",SCOPUS_ID:85008478207,1,Journal article,0
"RTI (Muth, M.K., Melanie J. Ball, Michaela C. Coglaiti, and Shawn A. Karns), 'Model to Estimate Costs of Using Labeling as a Risk Reduction Strategy for Consumer Products Regulated by the Food and Drug Administration,' Research Triangle Park, NC: RTI International, March 2011.","Muth, MK et al. (2011)",NA,"ResearchTrianglePark,NC:RTIInternational,March2011.",NA,"Model to Estimate Costs of Using Labeling as a Risk Reduction Strategy for Consumer Products Regulated by the Food and Drug Administration,'","Muth, MK et al.",NA,NA,1,Journal article,0
"Chaloupka, F., and Warner, K, “The Economics of Smoking,” in Handbook of Health Economics, vol. 1B, A.J. Culyer and J.P. Newhouse eds., Amsterdam: Elsevier, 2000.","Chaloupka, FJ and Warner, K (2000)",10.1016/S1574-0064(00)80042-6,"inHandbookofHealthEconomics,vol.1B,A.J.CulyerandJ.P.Newhouseeds.,Amsterdam:Elsevier,2000.",NA,Chapter 29 The economics of smoking,Chaloupka F.,Handbook of Health Economics,SCOPUS_ID:77956723980,1,Journal article,0
"Cropper, Maureen, James K. Hammitt, and Lisa A. Robinson. “Valuing Mortality Risk Reductions: Progress and Challenges.” Annual Review of Resource Economics 3: 313-36. June 10, 2011.","Cropper, M et al. (2011)",10.1146/annurev.resource.012809.103949,"AnnualReviewofResourceEconomics3:313-36.June10,2011.",NA,Valuing mortality risk reductions: Progress and challenges,Cropper M.,Annual Review of Resource Economics,SCOPUS_ID:80053007783,1,Journal article,0
"Ettera J-F, Bullen C. A longitudinal study of electronic cigarette users. Addict Behav. 2014;39:491–494.","Etter JF, Bullen, CB (2014)",NA,AddictBehav.2014;39:491–494.,NA,A longitudinal study of electronic cigarette users,"Ettera J-F, Bullen C",NA,NA,1,Journal article,0
"Brandt AM. The Cigarette Century: The Rise, Fall, and Deadly Persistence of the Product That Defined America. New York, NY: Basic Books; 2007.","Brandt, AM (2007)",NA,"NewYork,NY:BasicBooks;2007.",NA,"The Cigarette Century: The Rise, Fall, and Deadly Persistence of the Product That Defined America.",Brandt AM,NA,NA,1,Journal article,0
"Fairchild A, Colgrove J. Out of the ashes: the life, death, and rebirth of the “safer” cigarette in the United States. Am J Public Health. 2004;94:192–204.","Fairchild, A and Colgrove, J (2004)",NA,AmJPublicHealth.2004;94:192–204.,NA,"Out of the ashes: the life, death, and rebirth of the “safer” cigarette in the United States","Fairchild A, Colgrove J",NA,NA,1,Journal article,0
"Moodie C, Stead M, Bauld L et al. Plain tobacco packaging: a systematic review. PHR/ePPI Centre, 2012. http://phrc.lshtm.ac.uk/papers/PHRC_006_Final_Report.pdf [Accessed 12December 2015].","Moodie, C et al. (2012)",NA,"PHR/ePPICentre,2012.http://phrc.lshtm.ac.uk/papers/PHRC_006_Final_Report.pdf",NA,Plain tobacco packaging: a systematic review,"Moodie C, Stead M, Bauld L et al.",NA,NA,1,Journal article,0
"Lydon DM, Wilson SJ, Child A, Geier CF. Adolescent brain maturation and smoking: what we know and where we’re headed. Neuroscience and Biobehavioral Reviews 2014;45:323–42.","Lydon, DM et al. (2014)",NA,NeuroscienceandBiobehavioralReviews2014;45:323–42.,NA,Adolescent brain maturation and smoking: what we know and where we’re headed.,"Lydon DM, Wilson SJ, Child A, Geier CF",NA,NA,1,Journal article,1
"Freiberg M. Options for state  and local governments  to regulate non-cigarette tobacco products. Annals of Health Law 2012;21(2):407–45, 5 p preceding i.","Freiberg, M (2012)",NA,"AnnalsofHealthLaw2012;21(2):407–45,5pprecedingi.",NA,Options for state and local governments to regulate non-cigarette tobacco products.,Freiberg M.,"Annals of health law / Loyola University Chicago, School of Law, Institute for Health Law",SCOPUS_ID:84862322998,1,Journal article,0
Lindblom EN. Effectively regulating e-cigarettes and their advertising—and   the   First   Amendment.   Food  and Drug Law Journal 2015;70(1):55–92.,"Lindblom, EN (2015)",NA,FoodandDrugLawJournal2015;70(1):55–92.,NA,Effectively Regulating E-Cigarettes and Their Advertising--And the First Amendment,Lindblom E.,Food and drug law journal,SCOPUS_ID:84930208785,1,Journal article,0
Offermann F. The hazards of e-cigarettes. ASHRAE Journal. 2014 June:38–44.,"Offermann, F (2014)",NA,ASHRAEJournal.2014June:38–44.,NA,The hazards of e-cigarettes,Offermann F.,ASHRAE Journal,SCOPUS_ID:84942799253,1,Journal article,0
"Rigotti, A. Nancy., Joseph R. DiFranza, YuChiao Chang, Themla Tisdale, Becky Kemp and Daniel Singer. “The Effect of Enforcing Tobacco-Sales Laws on Adolescents’ Access to Tobacco and Smoking Behavior.” The New England Journal of Medicine 337(15): 1044-1051. 1997.","Rigotti, AN et al. (1997)",NA,TheNewEnglandJournalofMedicine337(15):1044-1051.1997.,NA,The effect of enforcing tobacco-sales laws on adolescents' access to tobacco and smoking behavior,Rigotti N.,Pneumologie,SCOPUS_ID:33748085034,1,Journal article,0
"Polosa R, Morjaria JB, Caponnetto P, Caruso M, Campagna D, Amaradio MD, et al. Persisting long term benefits of smoking abstinence and reduction in asthmatic smokers who have switched to electronic cigarettes. Discov Med. 2016;21(114):99-108.","Polosa, R et al. (2016)",NA,DiscovMed.2016;21(114):99-108.,NA,Persisting long term benefits of smoking abstinence and reduction in asthmatic smokers who have switched to electronic cigarettes,Polosa R.,Discovery Medicine,SCOPUS_ID:84961603966,1,Journal article,0
King W. The Australian tar derby: the origins and fate of a low tar harm reduction program. Tobacco Control 2003;12:61-70.,"King, W (2003)",NA,TobaccoControl2003;12:61-70.,NA,The Australian tar derby: The origins and fate of a low tar harm reduction programme,King W.,Tobacco Control,SCOPUS_ID:4143098746,1,Journal article,0
"Ling PM, Glantz SA. Tobacco industry consumer research on   socially  acceptable   cigarettes   Tobacco  Control 2005;14(5):e3–e3.","Ling, PM and Glantz, SA (2005)",NA,TobaccoControl2005;14(5):e3–e3.,NA,Tobacco industry consumer research on socially acceptable cigarettes.,Ling P.,Tobacco control,SCOPUS_ID:33644840351,1,Journal article,0
"Pollay RW, Dewhirst T. The dark side of marketing  seem- ingly “Light” cigarettes:  successful images and failed fact. Tobacco Control 2002;11(Suppl 1):i18–i31.","Pollay, RW and Dewhirst, T (2002)",NA,tobaccoControl2002;11(Suppl1):i18–i31.,NA,"The dark side of marketing seemingly ""Light"" cigarettes: Successful images and failed fact",Pollay R.,Tobacco Control,SCOPUS_ID:0003013721,1,Journal article,0
"Langley K, Rice F, van den Bree MB, Thapar A. Maternal smoking  during  pregnancy as an environmental  risk factor for attention deficit hyperactivity disorder behaviour. A review. Minerva Pediatrica 2005;57(6):359–71.","Langley, K et al. (2005)",NA,MinervaPediatrica2005;57(6):359–71.,NA,Maternal smoking during pregnancy as an environmental risk factor for attention deficit hyperactivity disorder behaviour: A review,Langley K.,Minerva Pediatrica,SCOPUS_ID:33746489769,1,Journal article,0
